Unit,ID,Entry,Row,Range,ReplicationTOS,TRT,RepRow,Variety,Type,TOS,Plotname,subset
89,V56,56,19,9,1,56,2,Gauntlet,TL,5,V56 (Gauntlet),
90,V28,28,20,9,1,28,2,CSIROW007,TL,5,V28 (CSIROW007),
91,V7,7,11,10,2,7,1,AGT_Scythe,TL,5,V7 (AGT_Scythe),
92,V65,65,12,10,1,65,1,Lockyer,TL,5,V65 (Lockyer),
93,V22,22,13,10,1,22,1,Crusader,TL,5,V22 (Crusader),
94,V16,16,14,10,2,16,1,Calingiri,TL,5,V16 (Calingiri),
95,V63,63,15,10,1,63,1,Kellalac,TL,5,V63 (Kellalac),
96,V68,68,16,10,1,68,2,Magenta,TL,5,V68 (Magenta),
97,V43,43,17,10,1,43,2,EGA_Eaglehawk,TL,5,V43 (EGA_Eaglehawk),
98,V32,32,18,10,1,32,2,CSIROW023,TL,5,V32 (CSIROW023),
99,V3,3,19,10,1,3,2,Lancer,Control,5,V3 (Lancer),
100,V13,13,20,10,2,13,2,Biere,TL,5,V13 (Biere),
101,V37,37,11,11,1,37,1,CSIROW087,TL,5,V37 (CSIROW087),
102,V27,27,12,11,1,27,1,CSIROW005,TL,5,V27 (CSIROW005),
103,V15,15,13,11,2,15,1,Braewood,TL,5,V15 (Braewood),
104,V81,81,14,11,1,81,1,Shepherd,TL,5,V81 (Shepherd),
105,V20,20,15,11,2,20,1,Commander,TL,5,V20 (Commander),
106,V82,82,16,11,1,82,2,Spitfire,TL,5,V82 (Spitfire),
107,V91,91,17,11,2,91,2,Urambie,TL,5,V91 (Urambie),
108,V64,64,18,11,1,64,2,Kittyhawk,TL,5,V64 (Kittyhawk),
109,V46,46,19,11,1,46,2,EGA_Wedgetail,TL,5,V46 (EGA_Wedgetail),
110,V93,93,20,11,2,93,2,Whistler,TL,5,V93 (Whistler),
111,V54,54,11,12,1,54,1,Franklin,TL,5,V54 (Franklin),
112,V9,9,12,12,2,9,1,Axe,TL,5,V9 (Axe),
113,V45,45,13,12,1,45,1,EGA_Hume,TL,5,V45 (EGA_Hume),
114,V39,39,14,12,1,39,1,CSIROW105,TL,5,V39 (CSIROW105),
115,V92,92,15,12,2,92,1,Westminster,TL,5,V92 (Westminster),
116,V94,94,16,12,2,94,2,Wyalkatchem,TL,5,V94 (Wyalkatchem),
117,V53,53,17,12,1,53,2,Forrest,TL,5,V53 (Forrest),
118,V57,57,18,12,1,57,2,Granger,TL,5,V57 (Granger),
119,V87,87,19,12,1,87,2,Sunlamb,TL,5,V87 (Sunlamb),
120,V96,96,20,12,2,96,2,Young,TL,5,V96 (Young),
1,V1,1,21,1,2,1,1,RGT Planet,Control,7,V1 (RGT Planet),
2,V24,24,22,1,1,24,1,CSIROB3,TL,7,V24 (CSIROB3),
3,V70,70,23,1,1,70,1,Mitch,TL,7,V70 (Mitch),
4,V53,53,24,1,2,53,1,Forrest,TL,7,V53 (Forrest),
5,V18,18,25,1,1,18,1,Cassiopee,TL,7,V18 (Cassiopee),
6,V43,43,26,1,2,43,2,EGA_Eaglehawk,TL,7,V43 (EGA_Eaglehawk),
7,V16,16,27,1,1,16,2,Calingiri,TL,7,V16 (Calingiri),
8,V51,51,28,1,2,51,2,Fleet,TL,7,V51 (Fleet),
9,V76,76,29,1,1,76,2,Rosalind,TL,7,V76 (Rosalind),
10,V22,22,30,1,1,22,2,Crusader,TL,7,V22 (Crusader),
11,V94,94,21,2,1,94,1,Wyalkatchem,TL,7,V94 (Wyalkatchem),
12,V60,60,22,2,2,60,1,H45,TL,7,V60 (H45),
13,V68,68,23,2,1,68,1,Magenta,TL,7,V68 (Magenta),
14,V66,66,24,2,1,66,1,Longsword,TL,7,V66 (Longsword),
15,V55,55,25,2,2,55,1,Gairdner,TL,7,V55 (Gairdner),
16,V46,46,26,2,2,46,2,EGA_Wedgetail,TL,7,V46 (EGA_Wedgetail),
17,V20,20,27,2,1,20,2,Commander,TL,7,V20 (Commander),
18,V32,32,28,2,1,32,2,CSIROW023,TL,7,V32 (CSIROW023),
19,V96,96,29,2,1,96,2,Young,TL,7,V96 (Young),
20,V59,59,30,2,2,59,2,Grout,TL,7,V59 (Grout),
21,V85,85,21,3,1,85,1,Sunbee,TL,7,V85 (Sunbee),
22,V31,31,22,3,1,31,1,CSIROW021,TL,7,V31 (CSIROW021),
23,V48,48,23,3,2,48,1,Ellison,TL,7,V48 (Ellison),
24,V50,50,24,3,2,50,1,Fathom,TL,7,V50 (Fathom),
25,V73,73,25,3,1,73,1,Oxford,TL,7,V73 (Oxford),
26,V47,47,26,3,2,47,2,EGA_Wills,TL,7,V47 (EGA_Wills),
27,V95,95,27,3,1,95,2,Yitpi,TL,7,V95 (Yitpi),
28,V90,90,28,3,1,90,2,Trojan,TL,7,V90 (Trojan),
29,V63,63,29,3,2,63,2,Kellalac,TL,7,V63 (Kellalac),
30,V13,13,30,3,1,13,2,Biere,TL,7,V13 (Biere),
31,V58,58,21,4,2,58,1,Grenade CL Plus,TL,7,V58 (Grenade CL Plus),
32,V29,29,22,4,1,29,1,CSIROW011,TL,7,V29 (CSIROW011),
33,V64,64,23,4,1,64,1,Kittyhawk,TL,7,V64 (Kittyhawk),
34,V77,77,24,4,1,77,1,Rosella,TL,7,V77 (Rosella),
35,V63,63,25,4,2,63,1,Kellalac,TL,7,V63 (Kellalac),
36,V34,34,26,4,1,34,2,CSIROW029,TL,7,V34 (CSIROW029),
37,V3,3,27,4,1,3,2,Lancer,Control,7,V3 (Lancer),
38,V87,87,28,4,1,87,2,Sunlamb,TL,7,V87 (Sunlamb),
39,V57,57,29,4,2,57,2,Granger,TL,7,V57 (Granger),
